lion 사자
tiger 호랑이
keen 예리한
bookkeeper 회계장부담당
difficulties 말썽
causative 원인이되는
affected 영향을받는
athletics 체육
affection 감정
marginal 최저의
release 양도하다
conduction 전도
demonstration 입증
undisclosed 나타나지않은
undetermined 미확인의
record 이력
association 협회
ballon 무도회장
witness 목격하다
stringently 엄격하게
recognize 표창하다
base 기초
basement 지하실
evil 악
atom 원자
poet 시인
petal 꽃잎
chance 기회
mind 마음
climate 기후
suburb 교외
throat 목구멍
voice 목소리
valley 골짜기
puritan 청교도
feather 깃털
amateur 아마추어
nation 국가
puzzle 수수께끼
riddle 장난
rear 뒤쪽
battle 전투
laundry 세탁소
shower 소나기
navy 해군
mars 화성
gallery 화랑
guest 손님
folk 사람들
problem 문제
jewel 보석
garage 차고
fault 결점
lantern 랜턴
import 수입
angle 각도
match 시합
stripe 줄무늬
pulse 맥박
powder 가루
flood 홍수
bush 수풀
branch 가지
hero 영웅
heaven 하늘
beast 짐승
century 세기
oeducation 남녀공학
twin 쌍둥이의한사람
wound 상처
metal 금속
insect 곤충
track 지나간자국
deserve 받을가치가있다
survive 살아남다
create 창조하다
describe 묘사하다
select 고르다
hesitate 주저하다
declare 선언하다
pretend 인체하다
struggle 분투노력하다
explore 탐험하다
astonish 놀라게 하다
disappoint 실망시키다
attract 끌다
celebrate 축하하다
explode 폭발시키다
include 포함하다
protect 보호하다
introduce 소개하다
produce 생산하다
chase 쫓다
scratch 할퀴다
crash 충돌(추락)하다
stare 응시하다
gaze 응시하다
scare 놀라다
grab 움켜잡다
guard 지키다
discuss 토론하다
shrug 어깨를으쓱하다
sniff 냄새맡다
scream 날카롭게소리치다
rid 제거하다
surround둘러싸다
cleave 쪼개다
carve 조각하다
except 제외하다
invent 발명하다
search 찾다
abuse 남용하다
owe 힘입다
bless 축복하다
graduate 졸업하다
replace 제자리에놓다
collect 모으다
upset 뒤엎다
arrest 체포하다
prove 증명하다
